   n alp|phi        0       15       30       45       60       75       90
 0.3      45  0.00000  0.26511  0.55046  0.87771  1.26812  1.73217  2.25038
 0.3      60  0.00000  0.26588  0.55739  0.90574  1.35193  1.93879  2.65684
 0.3      75  0.00000  0.26646  0.56278  0.92969  1.43759  2.22876  3.49854
 0.3      90  0.00000  0.26667  0.56483  0.93938  1.47789  2.43581      inf

 0.4       0  0.00000  0.26420  0.54291  0.85084  1.20098  1.59794  2.02789
 0.4      15  0.00000  0.26440  0.54454  0.85641  1.21419  1.62298  2.06774
 0.4      30  0.00000  0.26495  0.54912  0.87262  1.25419  1.70165  2.19629
 0.4      45  0.00000  0.26572  0.55573  0.89756  1.32117  1.84537  2.44683
 0.4      60  0.00000  0.26650  0.56279  0.92670  1.41098  2.07413  2.90762
 0.4      75  0.00000  0.26708  0.56827  0.95162  1.50309  2.39775  3.87215
 0.4      90  0.00000  0.26729  0.57035  0.96171  1.54653  2.63053      inf

 0.5       0  0.00000  0.26481  0.54814  0.87042  1.25310  1.70919  2.22144
 0.5      15  0.00000  0.26501  0.54980  0.87621  1.26726  1.73695  2.26685
 0.5      30  0.00000  0.26557  0.55447  0.89307  1.31017  1.82433  2.41367
 0.5      45  0.00000  0.26634  0.56119  0.91902  1.38218  1.98464  2.70129
 0.5      60  0.00000  0.26712  0.56837  0.94939  1.47906  2.24156  3.23477
 0.5      75  0.00000  0.26770  0.57394  0.97538  1.57881  2.60846  4.36621
 0.5      90  0.00000  0.26792  0.57606  0.98591  1.62599  2.87468      inf

 0.6       0  0.00000  0.26543  0.55357  0.89167  1.31379  1.85002  2.48365
 0.6      15  0.00000  0.26563  0.55525  0.89770  1.32907  1.88131  2.53677
 0.6      30  0.00000  0.26619  0.56000  0.91527  1.37544  1.98005  2.70905
 0.6      45  0.00000  0.26696  0.56684  0.94235  1.45347  2.16210  3.04862
 0.6      60  0.00000  0.26775  0.57414  0.97406  1.55884  2.45624  3.68509
 0.6      75  0.00000  0.26833  0.57982  1.00124  1.66780  2.88114  5.05735
 0.6      90  0.00000  0.26855  0.58198  1.01226  1.71951  3.19278      inf

 0.7       0  0.00000  0.26605  0.55918  0.91487  1.38587  2.03720  2.86787
 0.7      15  0.00000  0.26625  0.56090  0.92117  1.40251  2.07333  2.93263
 0.7      30  0.00000  0.26681  0.56573  0.93952  1.45309  2.18765  3.14339
 0.7      45  0.00000  0.26759  0.57270  0.96784  1.53846  2.39973  3.56211
 0.7      60  0.00000  0.26838  0.58014  1.00104  1.65425  2.74586  4.35751
 0.7      75  0.00000  0.26897  0.58592  1.02954  1.77459  3.25315  6.11031
 0.7      90  0.00000  0.26918  0.58812  1.04110  1.83192  3.63042      inf

 0.8       0  0.00000  0.26668  0.56501  0.94034  1.47370  2.30539  3.51241
 0.8      15  0.00000  0.26688  0.56676  0.94694  1.49205  2.34868  3.59733
 0.8      30  0.00000  0.26745  0.57168  0.96618  1.54791  2.48618  3.87507
 0.8      45  0.00000  0.26823  0.57877  0.99588  1.64250  2.74328  4.43275
 0.8      60  0.00000  0.26902  0.58635  1.03076  1.77145  3.16845  5.51206
 0.8      75  0.00000  0.26961  0.59225  1.06073  1.90629  3.80371  7.96671
 0.8      90  0.00000  0.26982  0.59449  1.07290  1.97080  4.28519      inf

 0.9       0  0.00000  0.26731  0.57106  0.96853  1.58460  2.74440  4.96729
 0.9      15  0.00000  0.26752  0.57284  0.97547  1.60516  2.79990  5.09958
 0.9      30  0.00000  0.26808  0.57785  0.99569  1.66788  2.97710  5.53551
 0.9      45  0.00000  0.26887  0.58508  1.02695  1.77453  3.31211  6.42557
 0.9      60  0.00000  0.26966  0.59281  1.06372  1.92081  3.87661  8.20087
 0.9      75  0.00000  0.27025  0.59882  1.09535  2.07488  4.74433 12.46409
 0.9      90  0.00000  0.27047  0.60110  1.10821  2.14900  5.42126      inf

 1.0       0  0.00000  0.26795  0.57735  1.00000  1.73205  3.73205      inf
 1.0      15  0.00000  0.26816  0.57916  1.00731  1.75565  3.81655      inf
 1.0      30  0.00000  0.26872  0.58428  1.02866  1.82781  4.08864      inf
 1.0      45  0.00000  0.26951  0.59165  1.06170  1.95114  4.61280      inf
 1.0      60  0.00000  0.27031  0.59953  1.10060  2.12160  5.52554      inf
 1.0      75  0.00000  0.27090  0.60566  1.13414  2.30276  7.00372      inf
 1.0      90  0.00000  0.27112  0.60799  1.14779  2.39053  8.22356      inf

