<NUMBER OF ZONES> 387											
<NUMBER OF NODES> 933											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 2950											
<END OF METADATA>											

~	tail node	head node	capacity (veh/h)	length (miles)	fftt(min)	B	Power	speed limit (mph)	toll (cents)	link type	
	194	740	49500	0.86267	0	0.15	4	0	0	3	;
	195	741	49500	0.86267	0	0.15	4	0	0	3	;
	196	742	49500	0.86267	0	0.15	4	0	0	3	;
	197	743	49500	0.86267	0	0.15	4	0	0	3	;
	198	744	49500	0.86267	0	0.15	4	0	0	3	;
	199	745	49500	0.86267	0	0.15	4	0	0	3	;
	200	746	49500	0.86267	0	0.15	4	0	0	3	;
	201	747	49500	0.86267	0	0.15	4	0	0	3	;
	202	748	49500	0.86267	0	0.15	4	0	0	3	;
	203	749	49500	0.86267	0	0.15	4	0	0	3	;
	204	750	49500	0.86267	0	0.15	4	0	0	3	;
	205	751	49500	0.86267	0	0.15	4	0	0	3	;
	206	752	49500	0.86267	0	0.15	4	0	0	3	;
	207	753	49500	0.86267	0	0.15	4	0	0	3	;
	208	754	49500	0.86267	0	0.15	4	0	0	3	;
	209	755	49500	0.86267	0	0.15	4	0	0	3	;
	210	756	49500	0.86267	0	0.15	4	0	0	3	;
	211	757	49500	0.86267	0	0.15	4	0	0	3	;
	212	758	49500	0.86267	0	0.15	4	0	0	3	;
	213	759	49500	0.86267	0	0.15	4	0	0	3	;
	214	760	49500	0.86267	0	0.15	4	0	0	3	;
	215	761	49500	0.86267	0	0.15	4	0	0	3	;
	216	762	49500	0.86267	0	0.15	4	0	0	3	;
	217	763	49500	0.86267	0	0.15	4	0	0	3	;
	218	764	49500	0.86267	0	0.15	4	0	0	3	;
	219	765	49500	0.86267	0	0.15	4	0	0	3	;
	220	766	49500	0.86267	0	0.15	4	0	0	3	;
	221	767	49500	0.86267	0	0.15	4	0	0	3	;
	222	768	49500	0.86267	0	0.15	4	0	0	3	;
	223	769	49500	0.86267	0	0.15	4	0	0	3	;
	224	770	49500	0.86267	0	0.15	4	0	0	3	;
	225	771	49500	0.86267	0	0.15	4	0	0	3	;
	226	772	49500	0.86267	0	0.15	4	0	0	3	;
	227	773	49500	0.86267	0	0.15	4	0	0	3	;
	228	774	49500	0.86267	0	0.15	4	0	0	3	;
	229	775	49500	0.86267	0	0.15	4	0	0	3	;
	230	776	49500	0.86267	0	0.15	4	0	0	3	;
	231	777	49500	0.86267	0	0.15	4	0	0	3	;
	232	778	49500	0.86267	0	0.15	4	0	0	3	;
	233	779	49500	0.86267	0	0.15	4	0	0	3	;
	234	780	49500	0.86267	0	0.15	4	0	0	3	;
	235	781	49500	0.86267	0	0.15	4	0	0	3	;
	236	782	49500	0.86267	0	0.15	4	0	0	3	;
	237	783	49500	0.86267	0	0.15	4	0	0	3	;
	238	784	49500	0.86267	0	0.15	4	0	0	3	;
	239	785	49500	0.86267	0	0.15	4	0	0	3	;
	240	786	49500	0.86267	0	0.15	4	0	0	3	;
	241	787	49500	0.86267	0	0.15	4	0	0	3	;
	242	788	49500	0.86267	0	0.15	4	0	0	3	;
	243	789	49500	0.86267	0	0.15	4	0	0	3	;
	244	790	49500	0.86267	0	0.15	4	0	0	3	;
	245	791	49500	0.86267	0	0.15	4	0	0	3	;
	246	792	49500	0.86267	0	0.15	4	0	0	3	;
	247	793	49500	0.86267	0	0.15	4	0	0	3	;
	248	794	49500	0.86267	0	0.15	4	0	0	3	;
	249	795	49500	0.86267	0	0.15	4	0	0	3	;
	250	796	49500	0.86267	0	0.15	4	0	0	3	;
	251	797	49500	0.86267	0	0.15	4	0	0	3	;
	252	798	49500	0.86267	0	0.15	4	0	0	3	;
	253	799	49500	0.86267	0	0.15	4	0	0	3	;
	254	800	49500	0.86267	0	0.15	4	0	0	3	;
	255	801	49500	0.86267	0	0.15	4	0	0	3	;
	256	802	49500	0.86267	0	0.15	4	0	0	3	;
	257	803	49500	0.86267	0	0.15	4	0	0	3	;
	258	804	49500	0.86267	0	0.15	4	0	0	3	;
	259	805	49500	0.86267	0	0.15	4	0	0	3	;
	260	806	49500	0.86267	0	0.15	4	0	0	3	;
	261	807	49500	0.86267	0	0.15	4	0	0	3	;
	262	808	49500	0.86267	0	0.15	4	0	0	3	;
	263	809	49500	0.86267	0	0.15	4	0	0	3	;
	264	810	49500	0.86267	0	0.15	4	0	0	3	;
	265	811	49500	0.86267	0	0.15	4	0	0	3	;
	266	812	49500	0.86267	0	0.15	4	0	0	3	;
	267	813	49500	0.86267	0	0.15	4	0	0	3	;
	268	814	49500	0.86267	0	0.15	4	0	0	3	;
	269	815	49500	0.86267	0	0.15	4	0	0	3	;
	270	816	49500	0.86267	0	0.15	4	0	0	3	;
	271	817	49500	0.86267	0	0.15	4	0	0	3	;
	272	818	49500	0.86267	0	0.15	4	0	0	3	;
	273	819	49500	0.86267	0	0.15	4	0	0	3	;
	274	820	49500	0.86267	0	0.15	4	0	0	3	;
	275	821	49500	0.86267	0	0.15	4	0	0	3	;
	276	822	49500	0.86267	0	0.15	4	0	0	3	;
	277	823	49500	0.86267	0	0.15	4	0	0	3	;
	278	824	49500	0.86267	0	0.15	4	0	0	3	;
	279	825	49500	0.86267	0	0.15	4	0	0	3	;
	280	826	49500	0.86267	0	0.15	4	0	0	3	;
	281	827	49500	0.86267	0	0.15	4	0	0	3	;
	282	828	49500	0.86267	0	0.15	4	0	0	3	;
	283	829	49500	0.86267	0	0.15	4	0	0	3	;
	284	830	49500	0.86267	0	0.15	4	0	0	3	;
	285	831	49500	0.86267	0	0.15	4	0	0	3	;
	286	832	49500	0.86267	0	0.15	4	0	0	3	;
	287	833	49500	0.86267	0	0.15	4	0	0	3	;
	288	834	49500	0.86267	0	0.15	4	0	0	3	;
	289	835	49500	0.86267	0	0.15	4	0	0	3	;
	290	836	49500	0.86267	0	0.15	4	0	0	3	;
	291	837	49500	0.86267	0	0.15	4	0	0	3	;
	292	838	49500	0.86267	0	0.15	4	0	0	3	;
	293	839	49500	0.86267	0	0.15	4	0	0	3	;
	294	840	49500	0.86267	0	0.15	4	0	0	3	;
	295	841	49500	0.86267	0	0.15	4	0	0	3	;
	296	842	49500	0.86267	0	0.15	4	0	0	3	;
	297	843	49500	0.86267	0	0.15	4	0	0	3	;
	298	844	49500	0.86267	0	0.15	4	0	0	3	;
	299	845	49500	0.86267	0	0.15	4	0	0	3	;
	300	846	49500	0.86267	0	0.15	4	0	0	3	;
	301	847	49500	0.86267	0	0.15	4	0	0	3	;
	302	848	49500	0.86267	0	0.15	4	0	0	3	;
	303	849	49500	0.86267	0	0.15	4	0	0	3	;
	304	850	49500	0.86267	0	0.15	4	0	0	3	;
	305	851	49500	0.86267	0	0.15	4	0	0	3	;
	306	852	49500	0.86267	0	0.15	4	0	0	3	;
	307	853	49500	0.86267	0	0.15	4	0	0	3	;
	308	854	49500	0.86267	0	0.15	4	0	0	3	;
	309	855	49500	0.86267	0	0.15	4	0	0	3	;
	310	856	49500	0.86267	0	0.15	4	0	0	3	;
	311	857	49500	0.86267	0	0.15	4	0	0	3	;
	312	858	49500	0.86267	0	0.15	4	0	0	3	;
	313	859	49500	0.86267	0	0.15	4	0	0	3	;
	314	860	49500	0.86267	0	0.15	4	0	0	3	;
	315	861	49500	0.86267	0	0.15	4	0	0	3	;
	316	862	49500	0.86267	0	0.15	4	0	0	3	;
	317	863	49500	0.86267	0	0.15	4	0	0	3	;
	318	864	49500	0.86267	0	0.15	4	0	0	3	;
	319	865	49500	0.86267	0	0.15	4	0	0	3	;
	320	866	49500	0.86267	0	0.15	4	0	0	3	;
	321	867	49500	0.86267	0	0.15	4	0	0	3	;
	322	868	49500	0.86267	0	0.15	4	0	0	3	;
	323	869	49500	0.86267	0	0.15	4	0	0	3	;
	324	870	49500	0.86267	0	0.15	4	0	0	3	;
	325	871	49500	0.86267	0	0.15	4	0	0	3	;
	326	872	49500	0.86267	0	0.15	4	0	0	3	;
	327	873	49500	0.86267	0	0.15	4	0	0	3	;
	328	874	49500	0.86267	0	0.15	4	0	0	3	;
	329	875	49500	0.86267	0	0.15	4	0	0	3	;
	330	876	49500	0.86267	0	0.15	4	0	0	3	;
	331	877	49500	0.86267	0	0.15	4	0	0	3	;
	332	878	49500	0.86267	0	0.15	4	0	0	3	;
	333	879	49500	0.86267	0	0.15	4	0	0	3	;
	334	880	49500	0.86267	0	0.15	4	0	0	3	;
	335	881	49500	0.86267	0	0.15	4	0	0	3	;
	336	882	49500	0.86267	0	0.15	4	0	0	3	;
	337	883	49500	0.86267	0	0.15	4	0	0	3	;
	338	884	49500	0.86267	0	0.15	4	0	0	3	;
	339	885	49500	0.86267	0	0.15	4	0	0	3	;
	340	886	49500	0.86267	0	0.15	4	0	0	3	;
	341	887	49500	0.86267	0	0.15	4	0	0	3	;
	342	888	49500	0.86267	0	0.15	4	0	0	3	;
	343	889	49500	0.86267	0	0.15	4	0	0	3	;
	344	890	49500	0.86267	0	0.15	4	0	0	3	;
	345	891	49500	0.86267	0	0.15	4	0	0	3	;
	346	892	49500	0.86267	0	0.15	4	0	0	3	;
	347	893	49500	0.86267	0	0.15	4	0	0	3	;
	348	894	49500	0.86267	0	0.15	4	0	0	3	;
	349	895	49500	0.86267	0	0.15	4	0	0	3	;
	350	896	49500	0.86267	0	0.15	4	0	0	3	;
	351	897	49500	0.86267	0	0.15	4	0	0	3	;
	352	898	49500	0.86267	0	0.15	4	0	0	3	;
	353	899	49500	0.86267	0	0.15	4	0	0	3	;
	354	900	49500	0.86267	0	0.15	4	0	0	3	;
	355	901	49500	0.86267	0	0.15	4	0	0	3	;
	356	902	49500	0.86267	0	0.15	4	0	0	3	;
	357	903	49500	0.86267	0	0.15	4	0	0	3	;
	358	904	49500	0.86267	0	0.15	4	0	0	3	;
	359	905	49500	0.86267	0	0.15	4	0	0	3	;
	360	906	49500	0.86267	0	0.15	4	0	0	3	;
	361	907	49500	0.86267	0	0.15	4	0	0	3	;
	362	908	49500	0.86267	0	0.15	4	0	0	3	;
	363	909	49500	0.86267	0	0.15	4	0	0	3	;
	364	910	49500	0.86267	0	0.15	4	0	0	3	;
	365	911	49500	0.86267	0	0.15	4	0	0	3	;
	366	912	49500	0.86267	0	0.15	4	0	0	3	;
	367	913	49500	0.86267	0	0.15	4	0	0	3	;
	368	914	49500	0.86267	0	0.15	4	0	0	3	;
	369	915	49500	0.86267	0	0.15	4	0	0	3	;
	370	916	49500	0.86267	0	0.15	4	0	0	3	;
	371	917	49500	0.86267	0	0.15	4	0	0	3	;
	372	918	49500	0.86267	0	0.15	4	0	0	3	;
	373	919	49500	0.86267	0	0.15	4	0	0	3	;
	374	920	49500	0.86267	0	0.15	4	0	0	3	;
	375	921	49500	0.86267	0	0.15	4	0	0	3	;
	376	922	49500	0.86267	0	0.15	4	0	0	3	;
	377	923	49500	0.86267	0	0.15	4	0	0	3	;
	378	924	49500	0.86267	0	0.15	4	0	0	3	;
	379	925	49500	0.86267	0	0.15	4	0	0	3	;
	380	926	49500	0.86267	0	0.15	4	0	0	3	;
	381	927	49500	0.86267	0	0.15	4	0	0	3	;
	382	928	49500	0.86267	0	0.15	4	0	0	3	;
	383	929	49500	0.86267	0	0.15	4	0	0	3	;
	384	930	49500	0.86267	0	0.15	4	0	0	3	;
	385	931	49500	0.86267	0	0.15	4	0	0	3	;
	386	932	49500	0.86267	0	0.15	4	0	0	3	;
	387	933	49500	0.86267	0	0.15	4	0	0	3	;
	388	390	3500	12.0468	11.09	0.15	4	0	0	2	;
	388	391	3500	6.35718	5.98	0.15	4	0	0	2	;
	388	708	2000	1.81366	2.9	0.15	4	0	0	1	;
	388	802	2000	4.42618	4.78	0.15	4	0	0	1	;
	389	390	1000	4.70056	4.34	0.15	4	0	0	2	;
	389	801	2500	7.50969	9.58	0.15	4	0	0	1	;
	389	914	2500	3.3019	3.96	0.15	4	0	0	1	;
	390	388	3500	12.0468	11.09	0.15	4	0	0	2	;
	390	389	1000	4.70056	4.34	0.15	4	0	0	2	;
	390	925	3500	7.06021	6.93	0.15	4	0	0	2	;
	391	388	3500	6.35718	5.98	0.15	4	0	0	2	;
	391	392	3500	4.5587	4.22	0.15	4	0	0	2	;
	391	709	3000	1.26933	0.53	0.15	4	0	0	1	;
	391	715	3000	4.71637	6.36	0.15	4	0	0	1	;
	392	391	3500	4.5587	4.22	0.15	4	0	0	2	;
	392	393	3500	2.70059	2.55	0.15	4	0	0	2	;
	392	713	1000	1.675	1.05	0.15	4	0	0	1	;
	392	717	1000	1.60466	2.98	0.15	4	0	0	1	;
	393	392	3500	2.70059	2.55	0.15	4	0	0	2	;
	393	394	5000	3.1116	3.42	0.15	4	0	0	2	;
	393	712	3500	2.70953	2.62	0.15	4	0	0	1	;
	393	716	3500	0.61304	1.87	0.15	4	0	0	1	;
	394	393	5000	3.1116	3.42	0.15	4	0	0	2	;
	394	395	5000	2.25782	2.42	0.15	4	0	0	2	;
	394	584	500	4.77245	4.97	0.15	4	0	0	1	;
	394	601	500	0.56239	1.75	0.15	4	0	0	1	;
	395	394	5000	2.25782	2.42	0.15	4	0	0	2	;
	395	396	5000	3.35722	3.65	0.15	4	0	0	2	;
	395	584	3500	3.87386	3.88	0.15	4	0	0	1	;
	395	600	3500	0.82969	1.36	0.15	4	0	0	1	;
	396	395	5000	3.35722	3.65	0.15	4	0	0	2	;
	396	397	5000	1.95295	2.11	0.15	4	0	0	2	;
	397	396	5000	1.95295	2.11	0.15	4	0	0	2	;
	397	398	5000	2.17728	2.36	0.15	4	0	0	2	;
	397	588	3000	2.501	3.02	0.15	4	0	0	1	;
	397	604	3000	1.10476	1.28	0.15	4	0	0	1	;
	398	397	5000	2.17728	2.36	0.15	4	0	0	2	;
	398	399	5000	0.62803	0.72	0.15	4	0	0	2	;
	398	400	6500	1.95581	2.11	0.15	4	0	0	2	;
	398	403	8000	2.806	3.06	0.15	4	0	0	2	;
	399	398	5000	0.62803	0.72	0.15	4	0	0	2	;
	399	537	5000	3.93438	4.28	0.15	4	0	0	2	;
	399	604	7000	1.69926	3.32	0.15	4	0	0	1	;
	399	609	7000	1.364	0.88	0.15	4	0	0	1	;
	400	398	6500	1.95581	2.11	0.15	4	0	0	2	;
	400	401	5000	3.45553	4.09	0.15	4	0	0	2	;
	400	587	500	1.00973	0.88	0.15	4	0	0	1	;
	400	609	500	2.50769	6.72	0.15	4	0	0	1	;
	401	400	5000	3.45553	4.09	0.15	4	0	0	2	;
	401	402	5000	1.5004	1.69	0.15	4	0	0	2	;
	401	585	6000	1.00047	1.7	0.15	4	0	0	1	;
	401	590	6000	2.22043	1.81	0.15	4	0	0	1	;
	402	401	5000	1.5004	1.69	0.15	4	0	0	2	;
	403	398	8000	2.806	3.06	0.15	4	0	0	2	;
	403	404	6500	3.00452	3.26	0.15	4	0	0	2	;
	403	606	1500	1.20311	2.84	0.15	4	0	0	1	;
	403	611	1500	1.92899	2.07	0.15	4	0	0	1	;
	404	403	6500	3.00452	3.26	0.15	4	0	0	2	;
	404	405	5000	0.91703	1.05	0.15	4	0	0	2	;
	404	675	5500	1.54319	3.14	0.15	4	0	0	1	;
	404	680	5500	1.61045	1.27	0.15	4	0	0	1	;
	405	404	5000	0.91703	1.05	0.15	4	0	0	2	;
	405	406	5000	2.18666	2.53	0.15	4	0	0	2	;
	405	488	5000	0.95285	1.01	0.15	4	0	0	2	;
	406	405	5000	2.18666	2.53	0.15	4	0	0	2	;
	406	407	5000	3.05061	3.31	0.15	4	0	0	2	;
	406	677	3000	0.82067	2	0.15	4	0	0	1	;
	406	682	3000	2.20446	2.45	0.15	4	0	0	1	;
	407	406	5000	3.05061	3.31	0.15	4	0	0	2	;
	407	408	5000	2.94384	3.25	0.15	4	0	0	2	;
	407	687	6500	0.82067	1.71	0.15	4	0	0	1	;
	407	692	6500	2.45596	2.47	0.15	4	0	0	1	;
	408	407	5000	2.94384	3.25	0.15	4	0	0	2	;
	408	409	5000	1.91447	2.17	0.15	4	0	0	2	;
	408	689	2000	1.04948	2.19	0.15	4	0	0	1	;
	408	694	2000	2.10339	2.11	0.15	4	0	0	1	;
	409	408	5000	1.91447	2.17	0.15	4	0	0	2	;
	409	410	5000	3.58034	3.93	0.15	4	0	0	2	;
	409	538	5000	1.40829	1.47	0.15	4	0	0	2	;
	409	539	5000	2.55473	2.86	0.15	4	0	0	2	;
	410	409	5000	3.58034	3.93	0.15	4	0	0	2	;
