 steps                      x                     y0                     y1
   153  1.614130690971920E+00 -1.001444751320398E+00  8.896629062254139E+01
   154  1.614151830019988E+00 -9.993729345620080E-01  1.084194490385455E+02
   155  1.614169409736848E+00 -9.972655245778117E-01  1.330476018597235E+02
   156  1.614184192542906E+00 -9.950826362330731E-01  1.644446570603074E+02
   157  1.614196719675689E+00 -9.927880529917309E-01  2.046426009055637E+02
   158  1.614207404839380E+00 -9.903442465180466E-01  2.562844375611422E+02
   159  1.614216569904573E+00 -9.877110756048351E-01  3.228149039171170E+02
   160  1.614224467633061E+00 -9.848451204644402E-01  4.087157647767029E+02
   161  1.614231299470889E+00 -9.816986622537514E-01  5.198192069351409E+02
   162  1.614237228120379E+00 -9.782186423638920E-01  6.637166806154783E+02
   163  1.614242386557335E+00 -9.743455707751213E-01  8.502917018376013E+02
   164  1.614246884645204E+00 -9.700123127124802E-01  1.092415831193529E+03
   165  1.614250814038628E+00 -9.651427111869314E-01  1.406858662531264E+03
   166  1.614254251860911E+00 -9.596499960594379E-01  1.815478994850845E+03
   167  1.614257263495323E+00 -9.534349205827377E-01  2.346786225488924E+03
   168  1.614259904729862E+00 -9.463835536122119E-01  3.037990324345547E+03
   169  1.614262223426123E+00 -9.383646368838235E-01  3.937698410735241E+03
   170  1.614264260834690E+00 -9.292263898799633E-01  5.109470000450434E+03
   171  1.614266052645428E+00 -9.187926062784166E-01  6.636517319240469E+03
   172  1.614267629836928E+00 -9.068578300956044E-01  8.627940465421438E+03
   173  1.614269019372109E+00 -8.931813171652427E-01  1.122703302215438E+04
   174  1.614270244774739E+00 -8.774793632063312E-01  1.462240294613973E+04
   175  1.614271326612914E+00 -8.594153871903893E-01  1.906296022004444E+04
   176  1.614272282909342E+00 -8.385868515093209E-01  2.487828423983762E+04
   177  1.614273129494110E+00 -8.145075927767358E-01  3.250660148006378E+04
   178  1.614273880312983E+00 -7.865832631786416E-01  4.253376589651591E+04
   179  1.614274547703259E+00 -7.540760039164291E-01  5.574861254992156E+04
   180  1.614275142650201E+00 -7.160514537597478E-01  7.322363673364083E+04
   181  1.614275675041713E+00 -6.712950079828235E-01  9.643694998258003E+04
   182  1.614276153951646E+00 -6.181704159641631E-01  1.274664969338536E+05
   183  1.614276588016555E+00 -5.543592990819269E-01  1.693238976708677E+05
   184  1.614276986074446E+00 -4.763203599655501E-01  2.265981944676300E+05
   185  1.614277358613037E+00 -3.779509168568853E-01  3.069413969280829E+05
   186  1.614277718014647E+00 -2.480602660893667E-01  4.239236382022090E+05
   187  1.614278088371420E+00 -5.943286480340851E-02  6.075323210457485E+05
   188  1.614278319566387E+00  9.856237650913457E-02  7.651383177574812E+05
   189  1.614278494882194E+00  2.448833579521418E-01  9.068833671403783E+05
   190  1.614278701001685E+00  4.502895251646182E-01  1.086750899786816E+06
   191  1.614278902609565E+00  6.860665484837923E-01  1.245321121307363E+06
   192  1.614279120279251E+00  9.689223848549482E-01  1.332608090260200E+06
   193  1.614279284207404E+00  1.185817102771642E+00  1.296896692369743E+06
   194  1.614279422192314E+00  1.358154793005714E+00  1.189973853387489E+06
   195  1.614279595192089E+00  1.546769033634126E+00  9.801184288456612E+05
   196  1.614279813657029E+00  1.727546072340584E+00  6.758690213568731E+05
   197  1.614279995274046E+00  1.829501973403105E+00  4.552356641626388E+05
   198  1.614280154120701E+00  1.889512915842661E+00  3.077244869586085E+05
   199  1.614280333705696E+00  1.933556754177938E+00  1.908262046544473E+05
   200  1.614280563301083E+00  1.965925529181513E+00  1.001420274209134E+05
   201  1.614280755250994E+00  1.980684236848492E+00  5.743066726304881E+04
   202  1.614280909172362E+00  1.987797760178402E+00  3.653640201001646E+04
   203  1.614281075600503E+00  1.992599717384721E+00  2.231798879420850E+04
   204  1.614281242502735E+00  1.995535707684693E+00  1.357924789392955E+04
   205  1.614281406033764E+00  1.997292758407159E+00  8.332947533075459E+03
   206  1.614281567246379E+00  1.998358594591681E+00  5.144381616809704E+03
   207  1.614281727138597E+00  1.999012206226271E+00  3.186662917569174E+03
   208  1.614281886214350E+00  1.999415394322760E+00  1.978048282245938E+03
   209  1.614282044794296E+00  1.999665021330592E+00  1.229309217943326E+03
   210  1.614282203072382E+00  1.999819909879349E+00  7.644865986270744E+02
   211  1.614282361167181E+00  1.999916133413972E+00  4.755506197936108E+02
   212  1.614282519152852E+00  1.999975947641891E+00  2.958048818641578E+02
   213  1.614282677077651E+00  2.000013133790665E+00  1.839313980088087E+02
   214  1.614282834975551E+00  2.000036244733985E+00  1.142804854531909E+02
   215  1.614282992873450E+00  2.000050595858895E+00  7.090881520137296E+01
   216  1.614283150771350E+00  2.000059492290496E+00  4.390175689797066E+01
   217  1.614283308669250E+00  2.000064992164977E+00  2.708495838587213E+01
   218  1.614283466567149E+00  2.000068377073512E+00  1.661352347563470E+01
   219  1.614283624465049E+00  2.000070445044209E+00  1.009323040536695E+01
   220  1.614283782362949E+00  2.000071692992746E+00  6.033222977942113E+00
   221  1.614283940260848E+00  2.000072430336439E+00  3.505172161662718E+00
   222  1.614284098158748E+00  2.000072849741226E+00  1.931028655053209E+00
   223  1.614284256056647E+00  2.000073071174791E+00  9.508560078646272E-01
   224  1.614284413954547E+00  2.000073169337548E+00  3.405316760804391E-01
   225  1.614284571852447E+00  2.000073190743250E+00 -3.949905077477367E-02
   226  1.614284729750346E+00  2.000073164354627E+00 -2.761328150427493E-01
   227  1.614284887648246E+00  2.000073108205987E+00 -4.234752683913191E-01
   228  1.614285113745801E+00  2.000072997400444E+00 -5.432378904188934E-01
   229  1.614285369442144E+00  2.000072848975817E+00 -6.093320439653334E-01
   230  1.614285684098131E+00  2.000072650884153E+00 -6.443342736412730E-01
   231  1.614286109193282E+00  2.000072372858103E+00 -6.603966108305175E-01
   232  1.614286684623500E+00  2.000071990966902E+00 -6.655147169409028E-01
   233  1.614287543287334E+00  2.000071418900043E+00 -6.665393064248298E-01
   234  1.614289058575385E+00  2.000070408796324E+00 -6.666251972625079E-01
   235  1.614292788455363E+00  2.000067922354147E+00 -6.666286862693035E-01
   236  1.614308637945381E+00  2.000057356580922E+00 -6.666346938006137E-01
   237  1.614430267270241E+00  1.999976271513633E+00 -6.666797971282601E-01
   238  1.615403301869119E+00  1.999327393627040E+00 -6.670404475231653E-01
   239  1.623187578660140E+00  1.994123677207988E+00 -6.699457969855166E-01
   240  1.685461792988308E+00  1.951644650901068E+00 -6.947871382548750E-01
   241  1.870532156021922E+00  1.814753990400916E+00 -7.913045006865592E-01
   242  2.000000000000000E+00  1.706162603785332E+00 -8.927995511068049E-01
