    ns                      x                     y0                     y1                     y2                     y3                     y4                     y5                     y6                     y7
    28  5.577956271370284E-03  4.191726176168944E-03  6.004690801845686E+00  2.568183553552149E+00  2.417870283244866E+00  5.133875167840300E+00  2.795869026893127E+00  2.937132989410177E+00 -2.382960432849239E-02
    29  5.882865278267447E-03  4.177660477779072E-03  6.004705087618198E+00  2.546448014024519E+00  2.395912978337168E+00  5.098538921729103E+00  2.783990486308055E+00  2.926245668673615E+00 -3.864854849715112E-02
    30  6.615492738018952E-03  4.153924382333773E-03  6.004749173140482E+00  2.494968646308695E+00  2.308759081262385E+00  4.976429236724733E+00  2.763510162766536E+00  2.909169986725950E+00 -6.746642716633927E-02
    31  7.376252285463430E-03  4.122151585002925E-03  6.004787366273843E+00  2.442609491067440E+00  2.187598005331469E+00  4.812973948328737E+00  2.758076160753996E+00  2.907773935997693E+00 -8.235910980082935E-02
    32  8.037131864402145E-03  4.092207179686728E-03  6.004817741104207E+00  2.398014010060032E+00  2.083163237821502E+00  4.666158770119162E+00  2.767656352376194E+00  2.920442607268164E+00 -8.023456926486562E-02
    33  8.685305326947652E-03  4.062861039710750E-03  6.004847126976673E+00  2.355063974408591E+00  2.003217938113501E+00  4.540148817224591E+00  2.788335462333901E+00  2.943362067029775E+00 -6.481556520412776E-02
    34  9.409415061847221E-03  4.030303184870070E-03  6.004879683664516E+00  2.307987850724056E+00  1.958912948283167E+00  4.440946621949005E+00  2.820233623483696E+00  2.976633417112261E+00 -3.515599242407225E-02
    35  1.018425375072162E-02  3.995677721446326E-03  6.004914156338064E+00  2.258651479636771E+00  1.975483701036629E+00  4.397913725070716E+00  2.857311973276095E+00  3.013781967317925E+00  4.390624549101371E-03
    36  1.074494079326091E-02  3.968545078666705E-03  6.004936646986481E+00  2.223607253285133E+00  2.027964420338946E+00  4.408822641566615E+00  2.881237018818257E+00  3.036870607649514E+00  3.295428805339645E-02
    37  1.116768116018036E-02  3.890338924834378E-03  6.004895490548019E+00  2.197543969967668E+00  2.086439113402258E+00  4.437735707499446E+00  2.895619672397312E+00  3.050160586019222E+00  5.200949576084663E-02
    38  1.147475499780242E-02  3.053892751638085E-03  6.004083884597997E+00  2.178807827924336E+00  2.136819509170881E+00  4.467897366875087E+00  2.903456391628274E+00  3.056975720897369E+00  6.364078390672678E-02
    39  1.164958695248478E-02 -4.335794236584932E-04  6.000603259706896E+00  2.168229925214139E+00  2.167730018055710E+00  4.487827643865941E+00  2.906810315697604E+00  3.059670275840744E+00  6.923559201834842E-02
    40  1.172972666416936E-02 -5.272107722105603E-03  5.995760187545564E+00  2.163417730545799E+00  2.182303273299577E+00  4.497503587091512E+00  2.908064770750828E+00  3.060605120411613E+00  7.152568265935294E-02
    41  1.177473022311818E-02 -1.009455425309132E-02  5.990930227210197E+00  2.160732599448387E+00  2.190572314484129E+00  4.503060760654741E+00  2.908689613847133E+00  3.061045943647172E+00  7.273278746129742E-02
    42  1.188013625023590E-02 -3.379087973567391E-02  5.967187005412331E+00  2.154530660532324E+00  2.210096356266825E+00  4.516342566694531E+00  2.909926131915429E+00  3.061839265443799E+00  7.533143568672099E-02
    43  1.198554227735362E-02 -9.656738786254790E-02  5.904269377813287E+00  2.148584754323790E+00  2.229631044777795E+00  4.529790886726951E+00  2.910840974873680E+00  3.062294799656871E+00  7.760062037329789E-02
    44  1.208200651735746E-02 -2.340718572968087E-01  5.766429956362417E+00  2.143678190426244E+00  2.247142656099047E+00  4.541872001561964E+00  2.911393549491480E+00  3.062414007234997E+00  7.938007167157218E-02
    45  1.216766898074462E-02 -4.766443609209261E-01  5.523203449684758E+00  2.140232622872729E+00  2.261969958822864E+00  4.551991676349009E+00  2.911654939431539E+00  3.062281011551997E+00  8.071663577518548E-02
    46  1.225598478086957E-02 -8.904057854527825E-01  5.108128837054817E+00  2.138302924499395E+00  2.276192875365522E+00  4.561477854308230E+00  2.911698163349656E+00  3.061909114519437E+00  8.185037428023892E-02
    47  1.234295703982407E-02 -1.443627715961787E+00  4.552669229559384E+00  2.138793747555360E+00  2.289210171924224E+00  4.569949875203668E+00  2.911516481100560E+00  3.061311073906705E+00  8.272118531650641E-02
    48  1.240225593321548E-02 -1.861268124255172E+00  4.132852484862772E+00  2.140773000045516E+00  2.297785728446688E+00  4.575495534567463E+00  2.911265449076681E+00  3.060772353113708E+00  8.317376442166986E-02
    49  1.247934137748816E-02 -2.392486354225766E+00  3.597985229770145E+00  2.145415691514137E+00  2.308953278474549E+00  4.582808294806409E+00  2.910785820549267E+00  3.059914719285836E+00  8.358981348628407E-02
    50  1.256258903285577E-02 -2.896507256787073E+00  3.089057857624184E+00  2.152864278024895E+00  2.321376899261480E+00  4.591174202106442E+00  2.910074660607178E+00  3.058791004742553E+00  8.381939558744045E-02
    51  1.267019970035463E-02 -3.397449576361001E+00  2.580554988634349E+00  2.165557739689091E+00  2.338231318325461E+00  4.602941074420261E+00  2.908861595433295E+00  3.057039522167516E+00  8.377715338067505E-02
    52  1.279022411357295E-02 -3.762050208523575E+00  2.206365002163978E+00  2.182615473583490E+00  2.357960996206593E+00  4.617198345406677E+00  2.907124609732166E+00  3.054697709832628E+00  8.327944692298730E-02
    53  1.287703389483475E-02 -3.922727729281712E+00  2.038263180876331E+00  2.196170308289886E+00  2.372622031885512E+00  4.628028983850403E+00  2.905621446957143E+00  3.052756044138398E+00  8.262483222400407E-02
    54  1.300641473543007E-02 -4.046284713133152E+00  1.903222103721712E+00  2.217402153864393E+00  2.394692018723620E+00  4.644580861695200E+00  2.903007441048889E+00  3.049489991956690E+00  8.119492018635580E-02
    55  1.314033258299462E-02 -4.073806406569511E+00  1.863597756838535E+00  2.239886479119970E+00  2.417389625818510E+00  4.661797109529946E+00  2.899847226321047E+00  3.045661109356253E+00  7.915148919665055E-02
    56  1.330109941244003E-02 -4.021602037437622E+00  1.901319448303681E+00  2.266711137655646E+00  2.443928247208210E+00  4.682048472318521E+00  2.895473497431676E+00  3.040500535721459E+00  7.596192727493743E-02
    57  1.349827320665028E-02 -3.879101375278289E+00  2.026486360032226E+00  2.298455319007559E+00  2.474801938224152E+00  4.705618490406336E+00  2.889306202773881E+00  3.033405570267983E+00  7.099936309101690E-02
    58  1.379437007577193E-02 -3.567351551509985E+00  2.313686996053327E+00  2.342247637995134E+00  2.516533847965257E+00  4.737138493688593E+00  2.878574440306731E+00  3.021397693799199E+00  6.153676121902380E-02
    59  1.412741282794988E-02 -3.128173758702739E+00  2.728042358585980E+00  2.384291199083642E+00  2.555326805278992E+00  4.765354350334841E+00  2.864790034726742E+00  3.006419468858224E+00  4.838271239969404E-02
    60  1.442271821920950E-02 -2.686731120982492E+00  3.150384184962965E+00  2.414112524909822E+00  2.581384200627968E+00  4.782644972757865E+00  2.851487678919041E+00  2.992342887701688E+00  3.493997223290017E-02
    61  1.472137459217568E-02 -2.209436680098887E+00  3.611419064572389E+00  2.436481447708245E+00  2.598933228966537E+00  4.791710742389381E+00  2.837459056726152E+00  2.977861125973411E+00  2.013277364302537E-02
    62  1.505400234325082E-02 -1.664549887746218E+00  4.141988007843652E+00  2.451788711621271E+00  2.607328430382159E+00  4.790857498313053E+00  2.821726440766354E+00  2.962061555818000E+00  2.839803296169594E-03
    63  1.530722070862576E-02 -1.259241707907109E+00  4.539078461778482E+00  2.456679553536205E+00  2.605517681797715E+00  4.781971110212990E+00  2.810070621050851E+00  2.950676670444091E+00 -1.044453198138833E-02
    64  1.556043907400070E-02 -8.814169234126046E-01  4.910897899967959E+00  2.456019376951435E+00  2.596507540961228E+00  4.765710050460743E+00  2.799018940166894E+00  2.940166571852446E+00 -2.346252530369701E-02
    65  1.581508380584379E-02 -5.495220055509815E-01  5.238771746783044E+00  2.450317814749415E+00  2.580264616149153E+00  4.741869568087710E+00  2.788805578651837E+00  2.930747615095960E+00 -3.595363707933345E-02
    66  1.598831931072908E-02 -3.613616535746540E-01  5.425189685236190E+00  2.443974794176978E+00  2.565241325942588E+00  4.721439525188871E+00  2.782515754601007E+00  2.925123157183002E+00 -4.394414466744358E-02
    67  1.616155481561436E-02 -2.087966232862981E-01  5.576669065710352E+00  2.436014651899366E+00  2.547188409981534E+00  4.697745394643723E+00  2.776853365513300E+00  2.920211014619960E+00 -5.141395291636750E-02
    68  1.636058085078276E-02 -7.876034837387361E-02  5.706086901440758E+00  2.425337759067780E+00  2.523023795343355E+00  4.666768076769948E+00  2.771217921137142E+00  2.915521815549904E+00 -5.923892686015923E-02
    69  1.655363481075790E-02  5.165564342640441E-03  5.789868478639780E+00  2.413892400661070E+00  2.496526170683845E+00  4.633283778269175E+00  2.766729018040749E+00  2.912014237721381E+00 -6.594554086542459E-02
    70  1.665490760579177E-02  3.536320570867562E-02  5.820113292512665E+00  2.407603213613578E+00  2.481601632088803E+00  4.614533323480011E+00  2.764785215842191E+00  2.910602430740789E+00 -6.908158301956176E-02
    71  1.671213622649862E-02  4.897013868305237E-02  5.833774093553086E+00  2.403988318036316E+00  2.472899049725028E+00  4.603617581764126E+00  2.763816654545533E+00  2.909938087573124E+00 -7.073076161601417E-02
    72  1.689107335405348E-02  7.881838586013193E-02  5.863882072296620E+00  2.392491764231473E+00  2.444638670168103E+00  4.568190660193768E+00  2.761410749952332E+00  2.908493084196285E+00 -7.528776590966033E-02
    73  1.708511907564834E-02  9.599693688114143E-02  5.881441833861490E+00  2.379836492658313E+00  2.412645882759453E+00  4.527989386262467E+00  2.759896898358116E+00  2.908023492565322E+00 -7.915258585595923E-02
    74  1.732536029696508E-02  1.054151346968237E-01  5.891401642110272E+00  2.364084283656472E+00  2.372026555623688E+00  4.476558201107490E+00  2.759636806443141E+00  2.909032835713004E+00 -8.230301939871491E-02
    75  1.762301911804171E-02  1.092510929045848E-01  5.895950316837041E+00  2.344602582068917E+00  2.321813172953572E+00  4.411943015635845E+00  2.761795232153081E+00  2.912687162283628E+00 -8.360326345669916E-02
    76  1.800717692069377E-02  1.101788425684622E-01  5.897816179458654E+00  2.319641714347970E+00  2.260436706149382E+00  4.330380256282849E+00  2.768495124710317E+00  2.921126492438910E+00 -8.097192821660666E-02
    77  1.854746574421715E-02  1.098683017110439E-01  5.898827291624811E+00  2.284961166785696E+00  2.187959819229135E+00  4.226785772968420E+00  2.784555981308378E+00  2.939157393583009E+00 -6.940541548852808E-02
    78  1.920652624023820E-02  1.091087969422458E-01  5.899671506513536E+00  2.243349858642213E+00  2.133341197989664E+00  4.131015744755311E+00  2.811945013939727E+00  2.968066011919565E+00 -4.476227388724256E-02
    79  1.993995266072505E-02  1.079930868675443E-01  5.900325848326904E+00  2.197932305663702E+00  2.127407420366635E+00  4.077560671841900E+00  2.846893196443676E+00  3.003480150268163E+00 -8.661752771133173E-03
    80  2.052849108323002E-02  1.024443432030612E-01  5.896168558906234E+00  2.162196910139468E+00  2.165958712382901E+00  4.078775838864026E+00  2.873513064571405E+00  3.029539468018097E+00  2.200647574876333E-02
    81  2.082680350576480E-02  7.156494460990619E-02  5.865898881432342E+00  2.144537734326008E+00  2.198663758012501E+00  4.093400225925860E+00  2.885237701004793E+00  3.040674695101489E+00  3.666757705777160E-02
    82  2.095199284005963E-02  2.103213210327255E-02  5.815505336916095E+00  2.137463005792416E+00  2.214487563825482E+00  4.101870548200360E+00  2.889662245108308E+00  3.044793379877283E+00  4.246607304704525E-02
    83  2.102754642805350E-02 -4.029166592442968E-02  5.754169927256113E+00  2.133446365568772E+00  2.224443988223207E+00  4.107464758548157E+00  2.892173185394644E+00  3.047103513794073E+00  4.584076493729832E-02
    84  2.107480097497939E-02 -9.857767621126917E-02  5.695812629967164E+00  2.131100083388529E+00  2.230759644934321E+00  4.111082783508810E+00  2.893679619039806E+00  3.048478263770842E+00  4.789943765115651E-02
    85  2.115212840832636E-02 -2.422355226679977E-01  5.551871803952505E+00  2.127687256782348E+00  2.241121825371786E+00  4.117083960806265E+00  2.896034621856153E+00  3.050607833713034E+00  5.117639062115135E-02
    86  2.123356213515282E-02 -4.800176217397386E-01  5.313451216075454E+00  2.124961052181295E+00  2.251899657089290E+00  4.123344541831887E+00  2.898361855640230E+00  3.052684560071754E+00  5.449667708884909E-02
    87  2.134215235362737E-02 -9.562100769238132E-01  4.835561371758438E+00  2.123472210844496E+00  2.265861109927943E+00  4.131410520081246E+00  2.901211531372912E+00  3.055179818024766E+00  5.870089374422847E-02
    88  2.144032913064466E-02 -1.507280390553008E+00  4.281817464916333E+00  2.125008324919621E+00  2.278263157339987E+00  4.138616445508308E+00  2.903528982597375E+00  3.057157424463360E+00  6.226738001984996E-02
    89  2.152063858182782E-02 -1.984287698701658E+00  3.801693847246512E+00  2.128612254269963E+00  2.288606900406076E+00  4.144808585884446E+00  2.905235843766113E+00  3.058573058761341E+00  6.500928707296492E-02
    90  2.160884982071735E-02 -2.478722004219441E+00  3.302876701675488E+00  2.134991883845007E+00  2.300515645868867E+00  4.152262201123025E+00  2.906909698613482E+00  3.059913811366643E+00  6.783003882521210E-02
    91  2.172145964649631E-02 -3.012804926827782E+00  2.761896790573594E+00  2.146413786013027E+00  2.316836770920680E+00  4.163057317210272E+00  2.908733707412111E+00  3.061293342036389E+00  7.112723769411269E-02
    92  2.185808955362812E-02 -3.493441509392037E+00  2.271338264894615E+00  2.164172680748583E+00  2.338345652878136E+00  4.178105284310900E+00  2.910465026696837E+00  3.062458117793653E+00  7.464846225788378E-02
    93  2.203325938413563E-02 -3.885838991843824E+00  1.864509184210855E+00  2.191212310322225E+00  2.368110995758137E+00  4.199977985417755E+00  2.911895922995494E+00  3.063122799036051E+00  7.835564525228970E-02
    94  2.217717909952036E-02 -4.076594733164017E+00  1.660995528013058E+00  2.215654629779618E+00  2.393799509524567E+00  4.219509635566491E+00  2.912399318983127E+00  3.062967049246744E+00  8.069365683877826E-02
    95  2.234232195879808E-02 -4.200238879980885E+00  1.522138652935981E+00  2.245090612047705E+00  2.424033300166773E+00  4.243041149741759E+00  2.912226336727798E+00  3.062009967180283E+00  8.256327630717854E-02
    96  2.256044916945950E-02 -4.260613113379705E+00  1.441219617820904E+00  2.285009447568754E+00  2.464371608672354E+00  4.275114303022200E+00  2.910776434208072E+00  3.059489396705902E+00  8.366978951815651E-02
    97  2.285965964192051E-02 -4.214871819719121E+00  1.458714319291785E+00  2.339741457225564E+00  2.518916693532748E+00  4.319381564930645E+00  2.906584670730710E+00  3.053792943201061E+00  8.263667104879652E-02
    98  2.300917742464123E-02 -4.148662762745141E+00  1.511021786474954E+00  2.366471796367654E+00  2.545293072644001E+00  4.341063247549510E+00  2.903576106474691E+00  3.050030685820277E+00  8.102332538753915E-02
    99  2.317752330275855E-02 -4.044538818118917E+00  1.599810960004429E+00  2.395704788594143E+00  2.573939412161588E+00  4.364757506735235E+00  2.899501302603727E+00  3.045117204015808E+00  7.835300617991571E-02
   100  2.338514630437812E-02 -3.877044534907610E+00  1.749015036361845E+00  2.430100762044097E+00  2.607342636072777E+00  4.392512175157626E+00  2.893537463074762E+00  3.038148959767266E+00  7.385826106808421E-02
   101  2.359322273787130E-02 -3.670276983676361E+00  1.938319403033586E+00  2.462294342547905E+00  2.638238807393748E+00  4.418215780250375E+00  2.886613005487162E+00  3.030271363969185E+00  6.809541786451279E-02
   102  2.381006988778172E-02 -3.418264107851118E+00  2.173239153000778E+00  2.492967196105176E+00  2.667222449265739E+00  4.442233990114119E+00  2.878508234377990E+00  3.021254705865581E+00  6.085567470765547E-02
   103  2.403987907349383E-02 -3.116239190043586E+00  2.458564698274793E+00  2.521817737028824E+00  2.693877645019499E+00  4.464055593140332E+00  2.869084922029075E+00  3.010984427122088E+00  5.195665748534445E-02
   104  2.428603357472832E-02 -2.760042583071620E+00  2.798675825365479E+00  2.548095079357447E+00  2.717286818951252E+00  4.482686411222085E+00  2.858244700881186E+00  2.999407100092473E+00  4.123210507594668E-02
   105  2.455258205835242E-02 -2.345771348626118E+00  3.197813496295106E+00  2.570715562292762E+00  2.736099257564144E+00  4.496668512051882E+00  2.845911256252108E+00  2.986512287621044E+00  2.851929983817393E-02
   106  2.484700522968527E-02 -1.867656545255268E+00  3.662137473580271E+00  2.588268876565855E+00  2.748405358186907E+00  4.503885399835981E+00  2.831952173549844E+00  2.972259787635997E+00  1.356642699222952E-02
   107  2.517527526983934E-02 -1.332051706528711E+00  4.186078692351234E+00  2.598454759829404E+00  2.751062633751852E+00  4.500932458933471E+00  2.816516385004257E+00  2.956934087217968E+00 -3.625991704844667E-03
   108  2.524527381674248E-02 -1.220424178183849E+00  4.295721199580418E+00  2.599362431336660E+00  2.750079642211909E+00  4.498735877653027E+00  2.813301131017389E+00  2.953802958231797E+00 -7.296822433885952E-03
   109  2.531039693987918E-02 -1.118105844830971E+00  4.396347593903298E+00  2.599818043990067E+00  2.748671356128243E+00  4.496187563622389E+00  2.810346288122274E+00  2.950945276834286E+00 -1.069943998811906E-02
   110  2.549926735510284E-02 -8.328001200142175E-01  4.677565987045750E+00  2.599084975584153E+00  2.741892732870610E+00  4.486022082390692E+00  2.802022312878792E+00  2.943003597143810E+00 -2.044617033513411E-02
   111  2.568813777032650E-02 -5.711057497415941E-01  4.936323939054771E+00  2.595475631583510E+00  2.731131301332809E+00  4.471712533560604E+00  2.794157408482491E+00  2.935662945814503E+00 -2.990547664917743E-02
   112  2.592667723785711E-02 -2.873847718097813E-01  5.217795601441646E+00  2.587288068223475E+00  2.711988001886092E+00  4.447778057805166E+00  2.785060190366429E+00  2.927409901151345E+00 -4.123567721156795E-02
   113  2.600064666474486E-02 -2.121045792627037E-01  5.292666154556478E+00  2.584037107092911E+00  2.704839161580978E+00  4.439059298659211E+00  2.782460313713247E+00  2.925108286174403E+00 -4.457280124474420E-02
   114  2.607461609163261E-02 -1.433785950929198E-01  5.361100884879890E+00  2.580494901638193E+00  2.697140284971862E+00  4.429745842487819E+00  2.779975983291567E+00  2.922937515151900E+00 -4.781374373595312E-02
   115  2.626280364576735E-02  1.155532921171182E-03  5.505352807528852E+00  2.570361499900796E+00  2.675199366911696E+00  4.403478399794269E+00  2.774216032244706E+00  2.918035880682379E+00 -5.557829277714945E-02
   116  2.631808338722217E-02  3.543463084777277E-02  5.539654750026803E+00  2.567128373490732E+00  2.668150252495646E+00  4.395094434194215E+00  2.772686543358983E+00  2.916772815582358E+00 -5.771631858802879E-02
   117  2.633756774260608E-02  4.666317596296622E-02  5.550901084562501E+00  2.565965390408532E+00  2.665604144153603E+00  4.392070553173211E+00  2.772165840903049E+00  2.916347362878307E+00 -5.845345091649216E-02
   118  2.649344258567739E-02  1.214240631885618E-01  5.625960582418896E+00  2.556289489880498E+00  2.644152769718054E+00  4.366654953500484E+00  2.768357500478939E+00  2.913322866816783E+00 -6.402630719146926E-02
   119  2.664294166793410E-02  1.709022910900642E-01  5.675929783974595E+00  2.546531499483832E+00  2.621954973087657E+00  4.340406103824703E+00  2.765327564697651E+00  2.911073341334375E+00 -6.879559249819329E-02
   120  2.669503886553020E-02  1.838895243177860E-01  5.689122581246896E+00  2.543053096077260E+00  2.613895660808020E+00  4.330875118970147E+00  2.764420795614845E+00  2.910443160752870E+00 -7.031710498325962E-02
   121  2.674713606312631E-02  1.950144710938958E-01  5.700467030107948E+00  2.539544241109156E+00  2.605688198114496E+00  4.321164119250528E+00  2.763592946496525E+00  2.909893599436107E+00 -7.176329965364771E-02
   122  2.682105475685581E-02  2.079929114548813E-01  5.713776887606499E+00  2.534523407420729E+00  2.593812352870439E+00  4.307099352930363E+00  2.762555720705919E+00  2.909253330458476E+00 -7.368298287773892E-02
   123  2.709863035652407E-02  2.356388250883799E-01  5.742804972957271E+00  2.515408147041754E+00  2.547373676481933E+00  4.251840465129718E+00  2.760136009317155E+00  2.908328157087982E+00 -7.944312963364437E-02
   124  2.740210528927775E-02  2.455012849654008E-01  5.754296783320526E+00  2.494367368079707E+00  2.494950264223648E+00  4.188655080494335E+00  2.760216939560742E+00  2.910002477890283E+00 -8.297804402714576E-02
   125  2.778612415895225E-02  2.479747037248047E-01  5.758879596904894E+00  2.467855662801377E+00  2.429726329844067E+00  4.108128747348955E+00  2.764382686380621E+00  2.916038040693933E+00 -8.313360956064141E-02
   126  2.828947353396493E-02  2.474140792680770E-01  5.761090993790443E+00  2.433479076019478E+00  2.352997383977570E+00  4.008662673904110E+00  2.776248675946495E+00  2.929981184626367E+00 -7.607499232476644E-02
   127  2.892865348874745E-02  2.457961005414948E-01  5.762976132442286E+00  2.390499512716999E+00  2.281981350678261E+00  3.905190309969718E+00  2.799823481729098E+00  2.955424906242566E+00 -5.640226309066116E-02
   128  2.963910166591149E-02  2.438058629072474E-01  5.764851008125731E+00  2.343613530833777E+00  2.251046076997228E+00  3.835411080928589E+00  2.832620846682593E+00  2.989171590281046E+00 -2.418640965570262E-02
   129  3.044587879076296E-02  2.383766978081882E-01  5.763760595397529E+00  2.291514534692083E+00  2.284383307695149E+00  3.824626376128030E+00  2.870175466580954E+00  3.026326835299042E+00  1.775210466749916E-02
   130  3.087900108285139E-02  1.856716363845615E-01  5.713205638901210E+00  2.264434061804474E+00  2.329787765666654E+00  3.847759855254477E+00  2.887272924509947E+00  3.042583977616339E+00  3.908214363504221E-02
   131  3.103245590450465E-02  7.735922362243941E-02  5.605374516296365E+00  2.255618482287922E+00  2.349225349845885E+00  3.859699447051989E+00  2.892479511142783E+00  3.047393916588262E+00  4.602469803773565E-02
   132  3.109481054470982E-02 -1.165754803587925E-02  5.516407470401941E+00  2.252414544298609E+00  2.357343247172523E+00  3.864839571858330E+00  2.894448118363618E+00  3.049187167296358E+00  4.872704197666092E-02
   133  3.114742037896409E-02 -1.194347154859507E-01  5.408556996330171E+00  2.250006500935088E+00  2.364192835372546E+00  3.869209825228369E+00  2.896039707091850E+00  3.050624568423594E+00  5.094903924671831E-02
   134  3.118008230773468E-02 -2.048258990330384E-01  5.323049058862320E+00  2.248693181459281E+00  2.368418467493427E+00  3.871912001152527E+00  2.896995094498419E+00  3.051481397091364E+00  5.230066306281450E-02
   135  3.127060547797611E-02 -5.267652501869324E-01  5.000395513752817E+00  2.246045897526324E+00  2.379927529650224E+00  3.879264864032356E+00  2.899508406754870E+00  3.053710394093716E+00  5.592983318873938E-02
